IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.178.156.92,443,443,true,FRA,Europe,Frankfurt,267,5.59
158.178.151.218,443,443,true,FRA,Europe,Frankfurt,329,5.58
130.162.182.163,443,443,true,FRA,Europe,Frankfurt,345,5.57
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,115,5.56
130.162.161.206,443,443,true,FRA,Europe,Frankfurt,258,5.55
143.47.251.186,443,443,true,FRA,Europe,Frankfurt,274,5.54
193.123.57.104,443,443,true,FRA,Europe,Frankfurt,363,5.53
138.3.241.171,443,443,true,FRA,Europe,Frankfurt,255,5.53
84.8.145.6,443,443,true,FRA,Europe,Frankfurt,207,5.53
158.101.220.242,443,443,true,FRA,Europe,Frankfurt,256,5.52
130.61.134.36,443,443,true,FRA,Europe,Frankfurt,193,5.51
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,82,5.51
141.148.246.251,443,443,true,FRA,Europe,Frankfurt,255,5.48
141.145.206.16,8443,443,true,CDG,Europe,Paris,259,5.47
84.8.145.234,443,443,true,FRA,Europe,Frankfurt,203,5.47
84.235.163.54,443,443,true,FRA,Europe,Frankfurt,342,5.47
158.101.220.118,443,443,true,FRA,Europe,Frankfurt,197,5.45
141.148.231.137,443,443,true,FRA,Europe,Frankfurt,256,5.45
140.238.195.98,443,443,true,SYD,Oceania,Sydney,92,5.45
140.238.80.17,443,443,true,FRA,Europe,Frankfurt,337,5.44
158.178.158.59,443,443,true,FRA,Europe,Frankfurt,332,5.43
150.230.20.58,443,443,true,FRA,Europe,Frankfurt,353,5.42
130.162.170.254,443,443,true,AMS,Europe,Amsterdam,191,5.42
84.8.158.57,443,443,true,FRA,Europe,Frankfurt,278,5.41
150.230.63.93,443,443,true,KIX,Asia Pacific,Osaka,70,5.40
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,73,5.40
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,257,5.40
144.24.240.193,8443,443,true,MXP,Europe,Milan,191,5.39
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,129,5.38
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,126,5.37
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,74,5.36
143.47.231.2,443,443,true,FRA,Europe,Frankfurt,264,5.35
130.162.164.1,443,443,true,FRA,Europe,Frankfurt,271,5.33
158.101.201.195,443,443,true,FRA,Europe,Frankfurt,333,5.31
130.162.176.123,443,443,true,FRA,Europe,Frankfurt,258,5.31
158.101.208.215,443,443,true,FRA,Europe,Frankfurt,345,5.31
193.122.54.249,443,443,true,FRA,Europe,Frankfurt,341,5.30
143.47.244.102,443,443,true,FRA,Europe,Frankfurt,332,5.25
192.9.180.162,443,443,true,SYD,Oceania,Sydney,94,5.25
143.47.231.205,443,443,true,FRA,Europe,Frankfurt,278,5.21
140.83.61.244,443,443,true,HKG,Asia Pacific,Hong Kong,68,5.16
152.67.129.109,443,443,true,FRA,Europe,Frankfurt,368,5.10
193.123.36.54,443,443,true,FRA,Europe,Frankfurt,342,5.10
193.123.32.161,443,443,true,FRA,Europe,Frankfurt,338,5.09
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,97,5.08
89.168.113.239,443,443,true,FRA,Europe,Frankfurt,191,5.06
130.162.52.23,443,443,true,FRA,Europe,Frankfurt,328,5.03
143.47.252.242,443,443,true,FRA,Europe,Frankfurt,191,5.01
193.122.125.174,2053,443,true,ICN,Asia Pacific,Seoul,90,4.99
150.230.122.10,443,443,true,FRA,Europe,Frankfurt,190,4.97
141.145.205.115,8443,8443,true,CDG,Europe,Paris,252,4.90
132.226.132.12,443,443,true,FRA,Europe,Frankfurt,266,4.82
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,323,4.81
132.145.15.174,443,443,true,FRA,Europe,Frankfurt,335,4.73
150.230.122.143,443,443,true,FRA,Europe,Frankfurt,192,4.70
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,124,4.69
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,257,4.66
155.248.196.123,443,443,true,YVR,North America,Vancouver,185,4.55
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,320,4.55
144.21.39.62,443,443,true,FRA,Europe,Frankfurt,255,4.54
155.248.202.141,443,443,true,SJC,North America,San Jose,184,4.51
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,97,4.47
132.145.54.84,8443,443,true,LHR,Europe,London,242,4.47
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,82,4.42
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,210,4.29
152.67.231.219,443,443,true,SJC,North America,San Jose,186,4.28
129.153.213.8,443,443,true,LAX,North America,Los Angeles,213,4.22
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,219,4.22
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,188,4.20
150.136.87.192,443,443,true,IAD,North America,Ashburn,236,4.12
129.80.123.71,443,443,true,IAD,North America,Ashburn,258,4.07
158.101.189.230,443,443,true,FRA,Europe,Frankfurt,182,4.06
150.230.20.84,443,443,true,FRA,Europe,Frankfurt,289,4.03
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,312,4.02
144.24.243.207,443,443,true,ZRH,Europe,Zurich,290,3.92
143.47.243.144,8443,443,true,LHR,Europe,London,242,3.87
158.180.58.222,443,443,true,FRA,Europe,Frankfurt,335,3.83
144.24.188.242,443,443,true,FRA,Europe,Frankfurt,182,3.81
129.146.213.36,80,443,true,LAX,North America,Los Angeles,219,3.81
152.70.173.56,443,443,true,FRA,Europe,Frankfurt,258,3.81
158.180.24.122,443,443,true,FRA,Europe,Frankfurt,247,3.78
132.145.54.84,2053,443,true,LHR,Europe,London,243,3.78
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,189,3.77
144.24.176.83,443,443,true,FRA,Europe,Frankfurt,182,3.76
